สอง	NU
คน	CL
แฮปปี้	VV
กว่า	AV
"	PU
สา	NN
"	PU
ยอมง้อ	VV
"	PU
ต้าร์	NN
"	PU

ประกาศ	VV
แยก	VV
ทาง	NN
กัน	PR
ได้	AX
ไม่	NG
เท่า	AV
ไหร่	PR
มาริสา	NN
แอนนิต้า	NN
ก็	CC
ทนเหงา	VV
ไม่	NG
ไหว	VV
ยอม	VV
ลดทิฐิ	NN
ยกหู	VV
โทรศัพท์	NN
ไป	AV
ง้อตาร์	NN
-	PU
เผ่าพล	NN
เทพหัสดิน	NN
ณ	PS
อยุธ	NN
ยาก	NN
ลับ	VV
มา	AV
คืนดี	VV
กัน	PR
แล้ว	AX

"	PU
เรา	PR
คืนดี	VV
กัน	PR
แล้ว	AX
ค่ะ	PA
ตามที่	CC
เห็น	VV
ใน	PS
ข่าว	NN
นั่นแหละ	PR
เรากลับ	VV
มา	AV
เหมือน	VV
เดิม	AV
กัน	PR
ได้	AX
สัก	AJ
ระยะ	NN
หนึ่ง	NN
แล้วก็	AX
แฮปปี้	VV
ดี	VV
สา	NN
เป็น	VV
คน	NN
เริ่ม	VV
พูด	VV
ก่อน	AV
โทร.	VV
ไป	AV
หา	VV
เขา	PR
ซึ่ง	CC
กว่า	AV
ที่	CC
จะ	AX
ตัดสินใจ	VV
โทร.	VV
ไป	AV
ง้อต้าร์	NN
ยอมรับ	VV
ว่า	CC
ใช้	VV
เวลา	NN
ตัดสินใจ	VV
นาน	VV
เหมือนกัน	AV

แต่	CC
มัน	PR
ต้อง	AX
คุย	VV
กัน	PR
ไงสา	VV
ว่า	CC
บาง	NU
ที	CL
เราลด	PR
ทิฐิ	NN
หรือ	CC
ความ	FX
ต้องการ	VV
เอาชนะ	AX
บาง	NU
อย่าง	CL
แล้ว	AX
กลับ	VV
มา	AV
พูด	VV
กัน	PR
สา	NN
ว่า	CC
มัน	PR
ก็	CC
เป็น	VV
เรื่อง	NN
ที่	CC
ดี	VV
นะ	PA

ส่วน	CC
ปัญหา	NN
เก่า	VV
ๆ	PU
มัน	PR
จะ	AX
กลับ	VV
มา	AV
อีก	AV
มั้ย	PA

อัน	CC
นี้	AJ
สา	NN
ก็	CC
ตอบ	VV
ไม่	NG
ได้	AX
รู้	VV
แต่ว่า	NN
ตอน	NN
นี้	AJ
แฮปปี้	VV
มาก	VV
คือ	VV
ตอน	NN
เป็น	VV
โสด	NN
อยู่	VV
คน	CL
เดียว	NU
ก็	CC
เหมือน	VV
จะ	AX
สนุก	VV
แต่	CC
มัน	PR
สนุก	VV
ไม่	NG
สุด	AV
มันหงอย	VV
ๆ	PU
เซ็งๆ	VV
ตอบ	VV
ยาก	VV
ค่ะ	PA

แต่	CC
ตอน	NN
นี้	AJ
ดู	VV
ชีวิต	NN
มี	VV
อะไร	PR
มาก	VV
ขึ้น	AV
เยอะ	VV
ดู	AV
สดใส	VV
เพื่อน	NN
ๆ	PU
ก็	CC
แฮปปี้	VV
ที่	CC
เห็น	VV
เรา	PR
เป็น	VV
แบบ	NN
นี้	AJ
ค่ะ	PA
"	PU
