"	PU
ปริญญา	NN
"	PU
ชี้	VV
ปัญหา	NN
ประชาธิปไตย	NN
แค่	AV
สร้าง	VV
ชน	NN
ชั้น	NN
นำ	VV
กลุ่ม	CL
ใหม่	VV

รอง	NN
อธิการบดี	NN
มธ.	NN
ชี้	VV
ปัญหา	NN
ประชาธิปไตย	NN
แค่	AV
สร้าง	VV
ชน	NN
ชั้น	NN
นำ	VV
กลุ่ม	CL
ใหม่	VV
ไป	VV
ที่	PS
ไหน	PR
แตกแยก	VV
ที่	PS
นั่น	AJ
แนะ	VV
สร้าง	VV
วิ	NN
ชาพ	NN
ล	NN
เมือง	NN

นาย	NN
ปริญญา	NN
เทวา	NN
นฤ	NN
มิตร	NN
กุล	NN
รอง	NN
อธิการบดี	NN
มหาวิทยาลัย	NN
ธรรมศาสตร์	NN
กล่าว	VV
อภิปราย	VV
เนื่อง	CC
ใน	PS
โอกาส	NN
ครบ	VV
รอบ	NN
11ปี	NU
ของ	PS
กกต.	NN
ว่า	CC
ที่	CC
ผ่าน	VV
มา	AV
ประชาธิปไตย	NN
ของ	PS
ไทย	NN
ถือ	VV
ว่า	CC
ล้มเหลว	VV
เพราะ	CC
ตลอด	VV
77ปี	NU
ที่	CC
ผ่าน	VV
มา	AV
เรา	PR
มี	FX
การ	FX
ปฏิวัติ	VV
รัฐประหาร	VV
ที่	CC
ทั้ง	CC
ฉีก	NN
และ	CC
ไม่	NG
ฉีก	VV
รัฐธรรมนูญ	NN
ถึง	PS
12	NU
ครั้ง	CL

และ	CC
ล่าสุด	NU
เรา	PR
ก็	CC
มี	VV
ความ	FX
ขัดแย้ง	VV
จน	CC
เกือบ	AV
จะ	AX
กลาย	VV
เป็น	VV
สงคราม	NN
กลาง	NN
เมือง	NN
และ	CC
ที่	CC
น่า	FX
เป็นห่วง	VV
คือ	VV
ความ	FX
ขัดแย้ง	VV
ครั้ง	CL
นี้	AJ
ยัง	AX
ไม่	NG
จบ	VV
ลง	AV
และ	CC
ยัง	AX
ไม่	NG
รู้	VV
ว่า	CC
ยก	VV
ต่อ	AV
ไป	AV
จะ	AX
เป็น	VV
อย่างไร	AV
และ	CC
การ	FX
เข่นฆ่า	VV
กัน	PR
เช่น	NN
นี้	AJ
ก็	CC
ใช่	VV
ว่า	CC
จะ	AX
เพิ่ง	AX
เกิด	VV
ขึ้น	AV
ครั้ง	CL
นี้	AJ
เป็น	VV
ครั้ง	CL
แรก	NU
จน	CC
เริ่ม	VV
มี	VV
ผู้	FX
ตั้ง	VV
คำ	NN
ถาม	VV
ว่า	CC
การ	FX
ปกครอง	VV
ระบอบ	NN
ประชาธิปไตย	NN
นี้	AJ
ไม่	NG
เหมาะ	VV
กับ	PS
ประทศไทย	NN
ใช่	VV
หรือ	AV
ไม่	AV

นาย	NN
ปริญญา	NN
กล่าว	VV
ว่า	CC
ปัญหา	NN
ของ	PS
ระบอบ	NN
ประชาธิปไตย	NN
ไทย	NN
คือ	VV
เรา	PR
มี	VV
วงจร	NN
คือ	VV
เลือกตั้ง	VV
รัฐประหาร	VV
ฉีก	VV
รัฐธรรมนูญ	NN
และ	CC
เลือกตั้ง	VV
ใหม่	VV
ปัญหา	NN
ที่	CC
เกิด	VV
ขึ้น	AV
ทุก	NU
คน	CL
ต้อง	AX
ร่วม	VV
รับผิดชอบ	VV
ไม่ว่า	CC
จะ	AX
เป็น	VV
ทหาร	NN
ที่	CC
ออก	AV
มา	AV
รัฐประหาร	VV
เพราะ	CC
หาก	CC
ไม่	NG
ออก	AV
มาก	AV
ระ	VV
ทำ	VV
และ	CC
ปล่อย	VV
ให้	AX
แก้	VV
ปัญหา	NN
ไป	AV
ตาม	VV
วิถีทาง	NN
ระบบ	NN
ก็	CC
จะ	AX
เดิน	VV
ต่อ	AV
ไป	AV
ได้	AX

หรือ	CC
นักการเมือง	NN
ที่	CC
หาก	CC
ไม่	NG
คอร์รับชั่น	VV
ทหาร	NN
ก็	CC
ไม่	NG
มี	VV
ข้อ	NN
อ้าง	VV
ใน	PS
การ	FX
ปฏิวัติ	VV

และ	CC
ที่	CC
สำคัญ	VV
คือ	VV
ประชาชน	NN
ที่	CC
หาก	CC
ไม่	NG
ขาย	VV
เสียง	NN
ก็	CC
จะ	AX
ไม่	NG
มี	VV
คน	NN
ซื้อ	VV
และ	CC
ต้อง	AX
ไม่	NG
สนับสนุน	VV
การ	FX
ปฏิวัติ	VV

ระบอบ	NN
ประชาธิปไตย	NN
นั้น	AJ
ไม่	NG
ใช่	VV
เครื่อง	NN
จักร	NN
ที่	CC
เมื่อ	PS
วาง	VV
ระบบ	NN
แล้ว	AX
ใช้	VV
งาน	NN
ได้	AX
แต่	CC
ต้อง	AX
อาศัย	VV
คน	NN
ที่	CC
มี	VV
จิต	NN
สำนัก	NN
มา	AV
สร้าง	VV
ประชาธิปไตย	NN
ด้วย	PS

นาย	NN
ปริญญา	NN
กล่าว	VV
อีก	AV
ว่า	CC
ปัญหา	NN
ของ	PS
ระบอบ	NN
ประชาธิปไตย	NN
คือ	VV
ทำให้	CC
เกิด	VV
ชน	NN
ชั้น	NN
ปกครอง	VV
ใหม่	VV
ขึ้น	AV
มา	VV
หาก	CC
คน	NN
ไม่	NG
พร้อม	VV
การ	FX
เลือกตั้ง	VV
ก็	CC
จะ	AX
กลาย	VV
เป็น	VV
เพียง	AV
แค่	AV
เครื่องมือ	NN
สร้าง	VV
ความ	FX
ชอบธรรม	VV
ให้	AX
ชน	VV
ชั้น	NN
ปกครอง	VV
เท่านั้น	AV
เพราะ	CC
แม้	CC
แต่	CC
ฮิตเลอร์	NN
ก็	CC
มา	VV
จาก	PS
การ	FX
เลือกตั้ง	VV

นอกจาก	PS
นี้	AJ
ประชาธิปไตย	NN
ยัง	AX
นำ	VV
ความ	FX
แตกแยก	VV
มา	AV
สู่	PS
คน	NN
ใน	PS
สังคม	NN
เรียก	VV
ได้	AX
ว่า	CC
ไป	AV
ถึง	VV
ไหน	PR
แตกแยก	VV
ถึง	PS
ที่	PS
นั่น	NN
และ	CC
ประชาธิปไตย	NN
ยัง	AX
นำ	VV
มา	AV
ซึ่ง	CC
ความ	FX
เสื่อม	VV
ของ	PS
สังคม	NN
เนื่อง	CC
มา	VV
จาก	PS
การ	FX
อ้าง	VV
เสรีภาพ	NN
โดย	CC
ไม่	NG
พูด	VV
ถึง	VV
เรื่อง	NN
ความ	FX
รับผิดชอบ	VV
ซึ่ง	CC
ที่	CC
ผ่าน	VV
มา	AV
นั้น	AJ
ประเทศ	NN
ไทย	NN
ปัญหา	NN
ทั้ง	NU
สาม	NU
แบบ	CL

อย่างไรก็ตาม	CC
ปัญหา	CL
ทั้ง	NU
สาม	NU
จะ	AX
ไม่	NG
เกิด	VV
ขึ้น	AV
หาก	CC
คน	NN
ที่	CC
อยู่	VV
ใน	PS
ประเทศ	NN
นั้น	AJ
ๆ	PU
มี	VV
คุณภาพ	NN
ซึ่ง	CC
เราควร	PR
จะ	AX
มี	VV
วิ	NN
ชาพ	NN
ล	NN
เมือง	NN
เพื่อ	CC
เตรียม	VV
เยาวชน	NN
เช่น	NN
เดียว	NU
กับ	PS
ประเทศ	NN
ต่าง	PR
ๆ	PU
ที่	CC
ประสบ	VV
ความ	FX
สำเร็จ	VV
เรื่อง	NN
ประชาธิปไตย	NN
และ	CC
ใช้	VV
หลัก	NN
นิติรัฐ	NN
ใน	PS
การ	FX
ควบคุม	VV
