"	PU
ชวรัตน์	NN
"	PU
เผย	VV
เตรียม	VV
ตั้ง	VV
ปลัด	NN
มท.	NN
ใหม่	VV

นาย	NN
ชวรัตน์	NN
ชาญวีรกูล	NN
รัฐมนตรี	NN
ว่า	VV
การ	VV
กระทรวง	NN
มหาดไทย	NN
กล่าว	VV
ถึง	PS
การ	FX
พิจารณา	VV
แต่งตั้ง	VV
ปลัด	NN
กระทรวง	NN
มหาดไทย	NN
คน	CL
ใหม่	VV
แทน	VV
นาย	NN
วิชัย	NN
ศรีขวัญ	NN
ปลัด	NN
กระทรวง	NN
มหาดไทย	NN
ที่	CC
จะ	AX
เกษียณ	VV
อายุ	NN
ราชการ	NN
ใน	PS
เดือน	NN
กันยายน	NN
นี้	AJ
ว่า	CC
การ	FX
พิจารณา	VV
แต่งตั้ง	VV
จะ	AX
ดู	VV
เรื่อง	NN
อาวุโส	AJ
และ	CC
ความ	FX
สามารถ	VV
เป็น	VV
หลัก	NN

ตอน	NN
นี้	AJ
มี	VV
แคนนิเดต	NN
ใน	PS
ใจ	NN
แล้ว	AX
แต่	CC
คง	AX
ยัง	AX
บอก	VV
ไม่	NG
ได้	AX
คาด	VV
ว่า	CC
ใน	PS
ช่วง	NN
เดือน	NN
สิงหาคม	NN
น่า	AX
จะ	AX
มี	VV
ความ	FX
ชัดเจน	VV
เพื่อ	CC
ให้	CC
ปลัด	NN
กระทรวง	NN
คน	CL
ใหม่	VV
ได้	AX
เข้า	AV
มา	AV
รับผิดชอบ	VV
งาน	NN
ได้	AX
อย่าง	FX
ต่อเนื่อง	VV
