"	PU
ฮัทช์	NN
"	PU
ผนึก	VV
แกรมมี่	NN
ปั้น	VV
นักร้อง	NN

ฮัทช์	NN
จับ	VV
มือ	VV
แกรมมี่	NN
สาน	VV
ฝัน	VV
ของ	PS
คน	NN
มี	VV
ใจ	NN
รัก	VV
และ	CC
มี	VV
พรสวรรค์	NN
ด้าน	NN
ร้อง	VV
เพลง	NN
เข้า	AV
ร่วม	VV
สนุก	VV
ร้อง	VV
คารา	NN
โอ	NN
เกะออน	NN
ไลน์	VV
คัดเลือก	VV
2	NU
ผู้	FX
ชนะ	VV
ร่วม	VV
เป็น	VV
ดาวดวง	NN
ใหม่	VV
กับ	PS
ศิลปิน	NN
ดัง	VV

นาย	NN
ธีรพันธุ์	NN
ศิริสุนทร	NN
ไพบูลย์	NN
ผู้	FX
อำนวยการ	VV
ฝ่าย	NN
พัฒนา	VV
ผลิตภัณฑ์	NN
และ	CC
บริการ	NN
บริษัท	NN
ฮัทชิสัน	NN
ซีเอที	NN
ไวร์เลส	NN
มัลติมีเดีย	NN
จำกัด	NN
หรือ	CC
ฮัทช์	NN
กล่าว	VV
ว่า	CC
กิจกรรม	NN
ฮัทช์	NN
ทาเลนท์	NN
เป็น	VV
กิจกรรม	NN
ที่	CC
ฮัทช์	NN
จัด	VV
ขึ้น	AV

เพื่อ	CC
เป็น	VV
การ	FX
ขอบ	VV
คุณ	VV
และ	CC
ส่ง	VV
มอบ	VV
ความ	FX
สุข	VV
ให้	AV
แก่	PS
ลูก	NN
ค้า	NN
ฮัทช์	NN
โดย	CC
เฉพ	CC
า	CC
ะ	CC
ซึ่ง	CC
ลูก	NN
ค้า	NN
สา	AX
มาร	AX
ถ	AX
เข้า	AV
ร่ว	VV
ม	VV
แข่ง	VV
ขัน	VV
ผ่าน	VV
เว็บ	NN
ไซต์	NN
w	NN
w	NN
w	NN
.	NN
h	NN
u	NN
t	NN
c	NN
h	NN
t	NN
a	NN
l	NN
e	NN
n	NN
t	NN
.	NN
c	NN
o	NN
m	NN
ที่	CC
มี	VV
คลัง	NN
เพลง	NN
คา	NN
รา	NN
โอ	NN
เกะก	NN
ว่า	AJ
1	NU
หมื่น	NU
เพลง	CL
จาก	PS
แกรม	NN
มี่	NN
ได้	AX
ไม่	NG
จำ	VV
กัด	VV

พร้อม	CC
กัน	AV
นี้	PR
ฮัทช์	NN
ได้	AX
มอบ	VV
รางวัล	NN
พิเศษ	VV
สุด	VV
ให้	AV
แก่	PS
ผู้	FX
ที่	CC
ชื่นชอบ	VV
การ	FX
ร้อง	VV
เพลง	NN
และ	CC
มี	VV
ความ	FX
ฝัน	VV
อยาก	VV
เป็น	VV
ศิลปิน	NN
โดย	CC
โปรดิวเซอร์	NN
ของ	PS
แกรมมี่	NN
จะ	AX
ทำ	VV
การ	VV
