"	PU
ไตรรงค์	NN
"	PU
โต้ก	VV
กต.	NN
เป็น	VV
ความ	NN
เห็น	NN
คน	NN
ส่วน	NN
น้อย	NN
รอ	VV
ศาล	NN
รัฐธรรมนูญ	NN
ชี้	VV
ขาด	VV

นาย	NN
ไตรรงค์	NN
สุวรรณ	NN
คี	NN
รี	NN
ส.ส.	NN
สัดส่วน	NN
พรรค	NN
ประชาธิปัตย์	NN
1	NU
ใน	PS
13	NU
ส.ส.	NN
ที่	CC
ถูก	AX
กกต.	NN
ชี้	VV
ว่า	CC
ขาด	VV
คุณสมบัติ	NN
การ	FX
เป็น	VV
ส.ส.	NN
เพราะ	CC
ถือ	VV
หุ้น	NN
สัมปทาน	NN
รัฐ	NN
กล่าว	VV
ว่า	CC
ม	NN
ติก	NN
กต.	NN
ออก	AV
มา	VV
เช่น	NN
นี้	AJ
ก็	CC
ไม่	NG
เป็น	VV
ไร	PR
แต่	CC
ไม่	NG
เห็น	VV
ด้วย	VV
กับ	PS
กกต.	NN
เนื่องจาก	CC
ใน	PS
รัฐธรรมนูญ	NN
มาตรา	NN
269	NU
วรรค	NN
หนึ่ง	NU
ระบุ	VV
ว่า	CC
นายก	NN
รัฐมนตรี	NN
และ	CC
รัฐมนตรี	NN
ต้อง	AX
ไม่	NG
เป็น	VV
หุ้น	NN
ส่วน	NN
หรือ	CC
ผู้	FX
ถือ	VV
หุ้น	NN
ใน	PS
ห้างหุ้นส่วน	NN
หรือ	CC
บริษัท	NN
หรือ	AV
ไม่	AV
คง	VV
ไว้	AV
ซึ่ง	CC
ความ	FX
เป็น	VV
หุ้น	NN
ส่วน	NN
หรือ	CC
ผู้	FX
ถือ	VV
หุ้น	NN
ใน	PS
ห้างหุ้นส่วน	NN
หรือ	CC
บริษัท	NN
ต่อ	AV
ไป	AV

แต่	CC
ใน	PS
มาตรา	NN
265	NU
ที่	CC
เกี่ยวกับ	VV
คุณสมบัติ	NN
ของ	PS
ส.ส.	NN
และ	CC
ส.ว.	NN
โดย	CC
ใน	PS
วรรค	NN
ที่	PS
2	NU
ระบุ	VV
ว่า	CC
ส.ส.	NN
หรือ	CC
ส.ว.	NN
ไม่	NG
รับ	VV
หรือ	CC
แทรกแซง	VV
หรือ	CC
ก้าวก่าย	VV
การ	FX
เข้า	AV
รับ	VV
สัมปทาน	NN
จาก	PS
รัฐ	NN
หน่วย	NN
ราชการ	NN
หน่วยงาน	NN
ของ	PS
รัฐ	NN
หรือ	CC
รัฐวิสาหกิจ	NN
หรือ	CC
เข้า	AV
เป็น	VV
คู่	NN
สัญญา	NN
กับ	PS
รัฐ	NN
หน่วย	NN
ราชการ	NN
หน่วยงาน	NN
ของ	PS
รัฐ	NN
หรือ	CC
รัฐวิสาหกิจ	NN
อัน	CC
มี	VV
ลักษณะ	NN
เป็น	VV
การ	FX
ผูกขาด	VV
ตัดตอน	VV
หรือ	CC
เป็น	VV
หุ้น	NN
ส่วน	NN
หรือ	CC
ผู้	FX
ถือ	VV
หุ้น	NN
ใน	PS
ห้างหุ้นส่วน	NN
หรือ	CC
บริษัท	NN
ที่	CC
รับ	VV
สัมปทาน	NN
หรือ	CC
เข้า	AV
เป็น	VV
คู่	NN
สัญญา	NN
ใน	PS
ลักษณะ	NN
ดังกล่าว	AJ

