เขา	PR
ควาย	VV
กับ	PS
ไม้	NN
ระนาด	NN

27	NU
มิถุนายน	NN
นี้	AJ
คาราบาว	NN
จะ	AX
จับ	VV
มือ	NN
"	PU
ขุนอิน	NN
"	PU
ณรงค์	NN
ฤทธิ์	NN
โตสง่า	NN
แสดง	VV
คอนเสิร์ต	NN
เพลง	NN
คน	NN
ดนตรี	NN
โลก	NN
นำ	VV
เพลง	NN
ของ	PS
คาราบาว	NN
มา	AV
บรรเลง	VV
โดย	CC
ใช้	VV
ระนาด	NN
ให้	AX
ชม	VV
ที่	PS
โรง	NN
ละคร	NN
สำนักพิพิธภัณฑ์	NN
มหาวิทยาลัย	NN
เกษตรศาสตร์	NN
ใน	PS
เวลา	NN
19.00	NU
น.	CL

โดย	CC
คอนเสิร์ต	NN
ดังกล่าว	AJ
เป็น	VV
ความ	FX
พยายาม	VV
ที่	CC
จะ	AX
นำ	VV
เอกลักษณ์	NN
ความ	FX
เป็น	VV
ไทย	NN
มา	AV
เชิดชู	VV
ใน	PS
3	NU
มิติ	CL
คือ	VV
การ	FX
ได้ยิน	VV
ได้	AX
ฟัง	VV
และ	CC
สัมผัส	VV
ด้วย	PS
หัวใจ	NN
ผ่าน	VV
เสียง	NN
ดนตรี	NN
ไทย	NN
จาก	PS
ขุนอิน	NN

เรื่องราว	NN
ที่	CC
เชิดชู	VV
บรรพชน	NN
ไทย	NN
และ	CC
บทบาท	NN
ของ	PS
บุคคล	NN
สำคัญ	VV
ผ่าน	VV
เนื้อ	NN
เพลง	NN
ของ	PS
คาราบาว	NN
และ	CC
รูปแบบ	NN
เวที	NN
ที่	CC
ประยุกต์	VV
ศิลปะ	NN
ไทย	NN
ร่วม	VV
สมัย	NN
เข้า	AV
ไป	AV
เป็น	VV
ส่วน	NN
หนึ่ง	NN
ใน	PS
การ	FX
ออก	VV
แบบ	NN

คอนเสิร์ต	NN
ซึ่ง	CC
คน	NN
จัด	VV
ยืนยัน	VV
ว่า	CC
จะ	AX
มี	VV
เพลง	NN
ที่	CC
คาราบาว	VV
แทบ	AV
ไม่	NG
เคย	AX
นำ	VV
ขึ้น	AV
แสดง	VV
บน	PS
เวที	NN
ไหน	NN
ๆ	PU
จะ	AX
มี	VV
เอมี่	NN
-	PU
อามีเรีย	NN
จาคอป	NN
เป็น	VV
แขกรับเชิญ	VV

โดย	CC
จำหน่าย	VV
บัตร	NN
ราคา	NN
1,200	NU
บาท	CL
ที่	CC
ไทยทิคเก็ต	VV
เมเจอร์	NN
ซึ่ง	CC
ราย	NN
ได้	VV
หลัง	CC
หัก	VV
ค่า	NN
ใช้จ่าย	VV
มอบ	VV
ให้	AX
โครงการ	NN
จัดตั้ง	VV
มูลนิธิ	NN
เพื่อน	NN
นัก	FX
ดนตรี	NN
ไทย	NN
