"	PU
กอร์ป	NN
ศักดิ์	NN
"	PU
ยืนยัน	VV
ยัง	AX
ไม่ยกเลิก	VV
โครงการ	NN
รับ	VV
จำนำ	VV
ข้าว	NN
แต่	CC
ต้อง	AX
คุมเข้ม	VV

รอง	NN
นายก	NN
รัฐ	NN
มน	NN
ตรี	NN
ด้าน	PS
เศรษฐกิจ	NN
ยืนยัน	VV
ยัง	AX
ไม่ยกเลิก	VV
โครงการ	NN
รับ	VV
จำนำ	VV
ข้าว	NN
แต่	CC
ต้อง	AX
คุมเข้ม	VV
ป้องกัน	VV
หมุนเวียน	VV
ข้าว	NN
เข้า	VV
โครงการ	NN
รับ	VV
จำนำ	VV
นาย	NN
กอร์ป	NN
ศักดิ์	NN
สภาว	NN
สุรอง	NN
นายก	NN
รัฐ	NN
มน	NN
ตรี	NN
ด้าน	PS
เศรษฐกิจ	NN
กล่าว	VV
ว่า	CC
ใน	PS
การ	FX
ประชุม	VV
คณะ	NN
รัฐ	NN
มน	NN
ตรี	NN
วัน	NN
นี้	AJ
จะ	AX
นำ	VV
เรื่อง	NN
แก้	VV
ปัญหา	NN
ข้าว	NN
เข้า	AV
พิจารณา	VV

ทั้งนี้	CC
ยืนยัน	VV
ว่า	CC
จะ	AX
ยัง	AX
ไม่	NG
มีการ	FX
หยุด	VV
ระบบ	NN
รับ	VV
จำนำ	VV
ข้าว	NN
เนื่องจาก	CC
เป็น	VV
โครงการ	NN
ต่อเนื่อง	VV
ที่	CC
ยัง	AX
มี	VV
โควตา	NN
อยู่	AX
แม้	CC
เกิด	VV
ปัญหา	NN
รัฐ	NN
ต้อง	AX
แบกรับ	VV
ภาระ	NN
ราคา	NN
จำนำ	VV
ราคา	NN
สูง	VV
กว่า	AV
ท้องตลาด	NN
แต่	CC
ก็	CC
ต้อง	AX
เดินหน้า	VV
แก้ไข	VV
โดย	CC
จะ	AX
ให้	AX
กระทรวง	NN
พาณิชย์	NN
รับผิด	VV
ชอบ	VV

รวม	VV
ทั้ง	CC
ต้อง	AX
ตรวจสอบ	VV
ว่า	CC
มีการ	FX
นำ	VV
ข้าวเวียน	VV
เข้า	AV
โครงการ	NN
ด้วย	PS
หรือไม่	AV

อย่างไร	CC
ก็ตาม	CC
ต้อง	AX
รอมติ	VV
คณะ	NN
รัฐ	NN
มน	NN
ตรี	NN
ซึ่ง	CC
เชื่อ	VV
ว่า	CC
จะ	AX
ทำให้	CC
ทุกอย่าง	CL
เดินหน้า	VV
ไป	AV
ได้	AX

ส่วน	CC
โครงการ	NN
เช่า	VV
รถเมล์	NN
เอ็นจีวี	NN
4	NU
พัน	NN
คัน	CL
จะ	AX
เข้า	VV
คณะ	NN
รัฐ	NN
มน	NN
ตรี	NN
วัน	NN
นี้	AJ
หรือไม่	AV
นั้น	AJ

นาย	NN
กอร์ป	NN
ศักดิ์	NN
กล่าว	VV
ว่า	CC
ยัง	AX
ไม่	NG
เห็น	VV
วาระ	NN
และ	CC
ปฏิเสธ	VV
ที่	CC
จะ	AX
ให้	VV
ความเห็น	NN
ถึง	PS
กรณีที่	CC
กลุ่ม	CL
40	NU
สว.	CL
ออก	AV
มา	AV
ค้าน	VV
เรื่อง	NN
โครงการ	NN
รถเมล์	NN
เอ็นจีวี	NN
