"	PU
เบ๊คส์	NN
"	PU
มี	VV
สิทธิ	NN
คืน	VV
ถิ่น	NN
ผู้ดี	NN

เดวิด	NN
เบ๊คแฮม	NN
กองกลาง	NN
ชื่อ	NN
ดัง	VV
ทีม	NN
ชาติ	NN
อังกฤษ	NN
เผย	VV
ว่า	CC
มี	VV
สิทธิ	NN
จะ	AX
กลับ	VV
มา	AV
เล่น	VV
ในอัง	NN
กฤษ	NN
ฤดูกาล	NN
หน้า	NU
และ	CC
ได้	AX
พูดคุย	VV
ถึง	PS
เรื่อง	NN
นี้	AJ
กับ	PS
ฟาบิโอ	NN
คาเปลโล่	NN
กุนซือ	NN
ทีม	NN
ชาติ	NN
อังกฤษ	NN
แล้ว	AX
ด้วย	AV

หลังจาก	CC
มี	VV
แผน	NN
ต้อง	AX
เดินทาง	VV
กลับ	VV
ไป	AV
สหรัฐ	NN
อเมริกา	NN
ใน	PS
เดือน	NN
หน้า	NU
เพื่อ	CC
เล่น	VV
ให้	CC
ทีม	NN
แอลเอ	NN
แกแล็กซี่	NN
ต้น	NN
สังกัด	NN
ใน	PS
เมเจอร์ลีก	NN
ซอคเกอร์	VV
จน	CC
ครบ	VV
สัญญา	NN

โดย	CC
อดีต	NN
กัปตัน	NN
ทีม	NN
ผู้ดี	NN
วัย	NN
34ปี	NU
เผย	VV
ว่า	CC
จะ	AX
ลง	AV
เล่น	VV
ให้	CC
แกแล็กซี่	NN
10	NU
หรือ	CC
11	NU
เกม	CL
ซึ่ง	CC
ไม่	NG
น่า	AX
จะ	AX
ทำให้	CC
คาเปลโล่	NN
ต้อง	AX
กังวล	VV
เรื่อง	NN
ที่	CC
ไม่	NG
มี	VV
แมตช์	NN
แข่งขัน	VV
ให้	CC
มาก	VV
พอ	VV
