"	PU
เทพไท	NN
"	PU
ชี้	VV
การ	FX
แต่งตั้ง	VV
รักษาการ	VV
ผบ.	NN
ตร.	NN
ไม่	NG
ขัด	VV
ต่อ	PS
กฎหมาย	NN

โฆษก	NN
ประจำ	VV
ตัว	NN
หัวหน้า	NN
พรรค	NN
ประชาธิปัตย์	NN
ชี้	VV
การ	FX
แต่งตั้ง	VV
รักษาการ	VV
ผู้	FX
บัญชาการ	VV
ตำรวจ	NN
แห่งชาติ	PS
ไม่	NG
ขัด	VV
ต่อ	PS
กฎหมาย	NN
พร้อม	CC
ย้ำ	VV
รัฐบาล	NN
ไม่	NG
มีการ	FX
ข่มขู่	VV
ให้	AX
ประชน	VV
ถอน	VV
รายชื่อ	NN
ถวาย	VV
ฎีกาฯ	NN
นาย	NN
เทพไท	NN
เสนพงศ์	NN
โฆษก	NN
ประจำ	VV
ตัว	NN
หัวหน้า	NN
พรรค	NN
ประชาธิปัตย์	NN
กล่าว	VV
ถึง	PS
กรณีที่	CC

พล.ต.	NN
อ.	NN
เพรียวพันธ์	NN
ดามาพงศ์	NN
รอง	NN
ผู้	FX
บัญชาการ	VV
ตำรวจ	NN
แห่งชาติ	PS
ออก	AV
มา	AV
ระบุ	VV
การที่	CC
นายก	NN
รัฐ	NN
มน	NN
ตรี	NN
แต่งตั้ง	VV
พล.ต.	NN
อ.	NN
วิเชียร	NN
พจน์	NN
โพธิ์	NN
ศรีให้	NN
รักษาการ	VV
ตำแหน่ง	NN
ผู้	FX
บัญชาการ	VV
ตำรวจ	NN
แห่งชาติ	PS
เป็น	VV
การ	FX
ดำเนินการ	VV
ที่	CC
ไม่	NG
ถูกต้อง	VV

และ	CC
เตรียม	VV
ฟ้อง	VV
ต่อ	PS
ศาลปกครอง	NN
ว่า	CC
ถือ	VV
เป็น	VV
สิทธิ์	NN
ที่	CC
จะ	AX
กระทำ	VV
ได้	AX

แต่	CC
อยาก	VV
ให้	AX
พล.ต.	NN
อ.	NN
เพรียวพันธ์	NN
ตระหนัก	VV
ใน	PS
การ	FX
เป็น	VV
ข้าราชการ	NN
ประจำร	VV
วมถึง	PS
ต้อง	AX
เคารพ	VV
คำสั่ง	NN
ของ	PS
ผู้	FX
บังคับ	VV
บัญชา	VV
ที่	CC
ปฏิบัติ	VV
ตาม	PS
กฎหมาย	NN
ซึ่ง	CC
ตนเอง	PR
เห็น	VV
ว่าการ	CC
แต่งตั้ง	VV
พล.ต.	NN
อ.	NN
วิเชียร	NN
ไม่	NG
ขัด	VV
ต่อ	PS
หลัก	NN
กฎหมาย	NN
เพราะ	CC
พล.ต.	NN
อ.	NN
วิเชียร	NN
ถือว่า	VV
มี	VV
อาวุโส	NN
สูงสุด	NN
ใน	PS
การ	FX
เข้า	VV
สู่	PS
ตำแหน่ง	NN
ยศ	NN
พล.ต.	NN
อ.	NN
มา	VV
ตั้งแต่	PS
ปี	NN
2545	NU
ใน	PS
ขณะที่	CC
พล.ต.	NN
อ.	NN
เพรียวพันธ์	NN
เข้า	VV
สู่	PS
ตำแหน่ง	NN
พล.ต.	NN
อ.	NN
ใน	PS
ปี	NN
2547	NU

ส่วน	CL
กรณีที่	CC
กลุ่ม	CL
นปช.	NN
กล่าวหา	VV
รัฐบาล	NN
ขัดขวาง	VV
การ	FX
ล่า	VV
รายชื่อ	NN
เพื่อ	CC
ยื่น	VV
ถวาย	VV
ฎีกาข	NN
อ	VV
พระราชทาน	VV
อภัยโทษ	NN
ให้	AX
กับ	PS
พ.	NN
ต.	NN
ท.	NN
ทักษิณ	NN
ชินวัตร	NN
อดีต	NN
นายก	NN
รัฐ	NN
มน	NN
ตรี	NN
นั้น	AJ

นาย	NN
เทพไท	NN
ระบุ	VV
ว่า	CC
เป็น	VV
การ	FX
ใส่ร้าย	VV
รัฐบาล	NN
เพื่อ	CC
พยายาม	VV
แย่ง	VV
พื้นที่	NN
สื่อ	NN
พร้อม	CC
ย้ำ	VV
รัฐบาล	NN
ไม่	NG
มีการ	FX
ข่มขู่	VV
ให้	AX
ประชน	VV
ถอน	VV
รายชื่อ	NN
ตามที่	CC
ถูก	AX
กล่าวหา	VV

นาย	NN
เทพไท	NN
เสนพงศ์	NN
ยัง	AX
กล่าว	VV
ถึง	PS
การที่	CC
แกนนำ	NN
นปช.	NN
ระบุ	VV
ว่า	CC
ใน	PS
วันที่	NN
17	NU
สิงหาคม	NN
นี้	AJ
จะ	AX
รวบ	VV
รว	VV
มมวล	NN
ชน	NN
มาก	NN
ว่า	CC
ใน	PS
ช่วง	NN
เดือน	NN
เมษายน	NN
ที่	CC
ผ่าน	VV
มา	AV
ว่าการ	CC
ดำเนินการ	VV
ดัง	AJ
กล่าว	AJ
จะ	AX
สร้าง	VV
ความ	FX
กังวล	VV
ให้	AX
กับ	PS
สังคม	NN
พร้อม	CC
เชื่อ	VV
ว่า	CC
จะ	AX
มีการ	FX
ปลุกระดม	VV
เพื่อให้	CC
เกิด	VV
ความ	FX
วุ่นวาย	VV
ขึ้น	AV
อีก	AV

ส่วน	CC
ที่	CC
ประกาศ	VV
ว่า	CC
จะ	AX
เคลื่อนไหว	VV
ต่อเนื่อง	VV
ใน	PS
ต่าง	AJ
จังหวัด	NN
นั้น	AJ
เชื่อ	VV
ว่า	CC
เป็น	VV
การ	FX
ขัดขวาง	VV
การ	FX
ทำงาน	VV
ของ	PS
รัฐบาล	NN
จึง	CC
ขอ	VV
เรียกร้อง	VV
ให้	AX
กลุ่ม	FX
นปช.	NN
ยุติการ	VV
เคลื่อนไหว	VV
เพื่อให้	CC
โอกาส	NN
ประเทศ	NN
ได้	AX
ผ่านพ้น	VV
วิกฤต	VV
ทาง	NN
การเมือง	NN
และ	CC
เศรษฐกิจ	NN
ครั้ง	CL
นี้	AJ
