"	PU
ชวน	NN
"	PU
เยี่ยม	VV
แบงก์ยะ	NN
ลาตอก	VV
รัฐ	NN
5ปี	CL
ดับ	VV
ไฟใต้	NN
ผิด	VV

ประธาน	NN
สภา	NN
ที่ปรึกษา	NN
พรรค	NN
ประชาธิปัตย์	NN
ลงพื้นที่	VV
ยะลา	NN
เข้า	AV
เยี่ยม	VV
ธนาคาร	NN
ที่	CC
ถูก	AX
ลอบ	VV
วาง	VV
ระเบิด	NN

ตอก	VV
นโยบาย	NN
แก้	VV
ปัญหา	NN
ของ	PS
รัฐ	NN
หลงทาง	VV
วอนขอ	VV
ความ	FX
ร่วมมือ	VV
ประชาชน	NN
ผนึก	VV
กำลัง	NN
เจ้าหน้าที่	NN
เพื่อ	CC
คลี่คลาย	VV
สถานการณ์	NN

เมื่อ	PS
เวลา	NN
13.00	NU
น.	CL
วันที่	NN
6	NU
กันยายน	NN
นาย	NN
ชวน	NN
หลีกภัย	NN
ประธาน	NN
สภา	NN
ที่ปรึกษา	NN
พรรค	NN
ประชาธิปัตย์	NN
ดร.	NN
พีรยศ	NN
ราฮิมมูลา	NN
อดีต	NN
ส.	NN
ส.	NN
บัญชี	NN
รายชื่อ	NN
พรรค	NN
ประชาธิปัตย์	NN
พร้อม	PS
คณะ	NN
ประกอบ	VV
ด้วย	PS
นาย	NN
ประเสริฐ	NN
พงษ์	NN
สุวรรณ	NN
ศิริ	NN
อดีต	NN
ส.	NN
ส.	NN
ยะลา	NN
เขต	NN
1	NU
นาย	NN
อับดุลการิม	NN
เด็งระกีนา	NN
อดีต	NN
ส.	NN
ส.	NN
ยะลา	NN
เขต	NN
2	NU
นาย	NN
ณรงค์	NN
ดูดิง	NN
อดีต	NN
ส.	NN
ส.	NN
ยะลา	NN
เขต	NN
3	NU
นาย	NN
เจ๊ะอามิง	NN
โต๊ะตาหยง	NN
อดีต	NN
ส.	NN
ส.	NN
นราธิวาส	NN
เขต	NN
2	NU
ได้	AX
เดินทาง	VV
เยี่ยม	VV
บรรดา	NN
ธนาคาร	NN
ในเขต	NN
เทศบาล	NN
นคร	NN
ยะลา	NN
ที่	CC
ถูก	AX
คนร้าย	NN
ลอบ	VV
วาง	VV
ระเบิด	NN

นาย	NN
ชวน	NN
และ	CC
คณะ	NN
ได้	AX
เข้า	AV
พูดคุย	VV
ทักทาย	VV
กับ	PS
เจ้าหน้าที่	NN
และ	CC
ประชาชน	NN
ที่	PS
ธนาคาร	NN
กรุงเทพ	NN
_สาขา	NN
ยะลา	NN
เป็น	VV
แห่ง	CL
แรก	NU
พร้อม	CC
ดู	VV
ร่องรอย	NN
จุด	NN
ที่	CC
เกิด	VV
ระเบิด	VV
อย่าง	FX
สนใจ	VV

จากนั้น	PR
ไป	VV
ที่	PS
ธนาคาร	NN
อิสลาม	NN
แห่ง	NN
ประเทศไทย	NN
_สาขา	NN
ยะลาธ	NN
นาคาร	NN
กรุงไทย	NN
อิสลาม	NN
_สาขา	NN
ถนน	NN
พิพิธภักดี	NN
ระหว่าง	PS
ทาง	NN
มี	VV
ประชาชน	NN
ในเขต	NN
เทศบาล	NN
นคร	NN
ยะลา	NN
เป็น	VV
จำนวน	NN
มาก	VV

นาย	NN
ชวน	NN
กล่าว	VV
ว่า	CC
ลงพื้นที่	VV
เพื่อ	CC
มา	AV
ดู	VV
สถานการณ์	NN
ความ	FX
ไม่	NG
สงบ	VV
ล่าสุด	AJ
ที่	CC
เกิด	VV
ขึ้น	AV
ใน	PS
พื้นที่	NN
ซึ่ง	CC
มอง	VV
ว่า	CC
เรื่อง	NN
ขวัญ	NN
และ	CC
กำลังใจ	NN
เป็น	VV
เรื่อง	NN
ใหญ่	VV
เพราะ	CC
ประชาชน	NN
ใน	PS
พื้นที่	NN
เสีย	VV
ขวัญ	NN
และ	CC
กำลังใจ	NN

หลาย	AJ
คน	CL
ต้อง	AX
ย้าย	VV
ออก	AV
นอก	PS
พื้นที่	NN
ซึ่ง	CC
เหตุผล	NN
ที่	CC
คน	NN
ย้าย	VV
ออก	AV
นอก	PS
พื้นที่	NN
โดย	CC
เฉพาะ	CC
จ.	NN
ยะลา	NN
ที่	CC
คง	AX
จะ	AX
รู้สึก	VV
ว่า	CC
ไม่	NG
ปลอดภัย	VV

ซึ่ง	CC
การที่	CC
จะ	AX
ทำให้	CC
คน	NN
มี	VV
กำลังใจ	NN
และ	CC
ไม่	NG
ย้าย	VV
ออก	AV
นอก	PS
พื้นที่	NN
ตน	PR
มอง	VV
ว่า	CC
น่า	AX
จะ	AX
เป็น	VV
ทาง	NN
ที่	CC
เป็น	VV
ประโยชน์	NN
ใน	PS
แง่	NN
ของ	PS
ความ	FX
มั่นคง	VV

นาย	NN
ชวน	NN
กล่าว	VV
ด้วย	AV
ว่าการ	CC
แก้	VV
ปัญหา	NN
ที่	CC
ผ่าน	VV
มา	AV
5ปี	CL
ถือว่า	VV
ผิด	VV
มา	AV
ตั้งแต่	CC
เริ่มแรก	VV

พรรค	NN
ประชาธิปัตย์	NN
เคย	AX
เตือน	VV
แล้ว	AX
ว่า	CC
เป็น	VV
วิธีการ	NN
แก้	VV
ปัญหา	NN
ที่	CC
ผิด	VV

ซึ่ง	CC
หาก	CC
จะ	AX
พูด	VV
ไป	AV
ก็	CC
คง	AX
จะ	AX
ไม่	NG
มี	VV
ประโยชน์	NN
อะไร	PR
แล้ว	AX
ใน	PS
ขณะนี้	NN

ทำ	VV
ได้	AX
เพียง	AV
ขอ	VV
ให้	AV
กำลังใจ	NN
แก่	PS
บรรดา	NN
ผู้	FX
ที่	CC
กำลัง	AX
แก้ไข	VV
ปัญหา	NN

ปัญหา	NN
ที่	CC
เกิด	VV
ขึ้น	AV
ย่อม	AX
จะ	AX
แก้	VV
ได้	AX
ปัญหา	NN
มัน	PR
บานปลาย	VV
ไป	AV
มาก	VV

จาก	PS
เดิม	AV
ที่	CC
มอง	VV
ว่า	CC
ปัญหา	NN
เพียง	AV
เล็กน้อย	AJ
แต่	CC
พบ	VV
ว่าการ	CC
แก้	VV
ปัญหา	NN
5ปี	CL
ที่	CC
ผ่าน	VV
มา	AV
ก็	CC
ไม่	NG
ดี	VV
ขึ้น	AV

ฝ่าย	NN
ประชาชน	NN
ก็	CC
ควร	AX
ให้การ	VV
ร่วมมือ	VV
ด้วย	AV
การ	FX
แก้	VV
ปัญหา	NN
ก็	CC
น่า	AX
จะ	AX
ดี	VV
ขึ้น	AV
ซึ่ง	CC
ขอ	VV
ให้	AV
กำลังใจ	NN
เจ้าหน้าที่	NN
ที่	CC
ปฏิบัติ	VV
งาน	NN
อยู่	VV
ใน	PS
พื้นที่	NN
ด้วย	CL

ประธาน	NN
สภา	NN
ที่ปรึกษา	NN
พรรค	NN
ประชาธิปัตย์	NN
ยัง	AX
กล่าว	VV
อีก	AV
ว่า	CC
คง	AX
ไม่	NG
มี	VV
ข้อ	NN
เสนอแนะ	VV
อะไร	PR
กับ	PS
เจ้าหน้าที่	NN
ที่	CC
ทำงาน	VV
ใน	PS
พื้นที่	NN
เพราะ	CC
ว่า	CC
เจ้าหน้าที่	NN
คง	AX
จะ	AX
รู้	VV
ปัญหา	NN
ที่	CC
ดี	VV
กว่า	AV

แต่	CC
การ	FX
แก้	VV
ปัญหา	NN
ใน	PS
พื้นที่	NN
มัน	PR
หนี	VV
ไม่	NG
พ้น	VV
คือ	VV
ความ	FX
ร่วมมือ	VV
ของ	PS
ชาวบ้าน	NN

จะ	AX
ส่ง	VV
เจ้าหน้าที่	NN
ลง	AV
มา	AV
แก้ไข	VV
ปัญหา	NN
มาก	VV
เท่าไร	VV
แต่	CC
ตราบใด	NN
ที่	CC
ยัง	AX
ไม่	NG
ได้รับ	VV
ความ	FX
ร่วมมือ	VV
จาก	PS
ประชาชน	NN
ก็	CC
ไม่	NG
มี	VV
ประโยชน์	NN

จะ	AX
ต้อง	AX
พยายาม	VV
ทำให้	CC
ชาวบ้าน	NN
ไว้วางใจ	VV
และ	CC
ให้	VV
ความ	FX
ร่วมมือ	VV
ซึ่ง	CC
ชาวบ้าน	NN
ก็	CC
จะ	AX
เป็นหูเป็นตา	VV
ให้	AV
จึง	CC
จะ	AX
สามารถ	AX
แก้	VV
ปัญหา	NN
ได้	AX

ขอ	VV
ให้	AV
กำลังใจ	NN
ประชาชน	NN
และ	CC
