ผู้	FX
ใหญ่	VV
แนะนำ	VV
"	PU
จี้	NN
"	PU
เลือก	VV
เรียน	VV
ก่อน	AV

ดาวรุ่ง	NN
ดวง	CL
ใหม่	VV
ของ	PS
ค่ายโคลีเซี่ยม	NN
น้อง	NN
จี้	NN
-	PU
พิมพ์พิสา	NN
นิชาพิมพ์	NN
อาจ	AX
ต้อง	AX
พัก	VV
งาน	NN
แสดง	VV
ชั่วคราว	VV
เพื่อ	CC
ทุ่มเท	VV
เวลา	NN
ให้	VV
การ	VV
เรียน	VV
ใน	PS
มหาวิทยาลัย	NN

"	PU
ช่วง	NN
นี้	AJ
ยอมรับ	VV
ว่า	CC
ดวง	NN
เรื่อง	NN
งาน	NN
แสดง	VV
เริ่ม	VV
ชัด	VV
เริ่ม	VV
มี	VV
งาน	NN
เข้า	AV
มา	AV
พอสมควร	VV
แต่	CC
มัน	PR
ก็	CC
เป็น	VV
ช่วง	NN
คาบเกี่ยว	VV
กับ	PS
เรื่อง	NN
เรียน	VV
เพราะ	CC
หนู	PR
เพิ่ง	AX
เอ็น	VV
ฯ	VV
ติด	VV
ที่	PS
มศว.	NN
ประสานมิตร	NN
ปี	NN
1	NU
ต้อง	AX
ไป	AV
เรียน	VV
ที่	PS
องครักษ์	NN
ต้อง	AX
ไป	AV
อยู่	VV
หอ	NN
ด้วย	AV
ทำให้	CC
การ	FX
รับ	VV
งาน	NN
การ	FX
ทำงาน	VV
ค่อนข้าง	AX
มี	VV
อุปสรรค	NN
เหมือนกัน	AV

หนู	PR
เอง	AJ
ก็	CC
สับสัน	VV
ว่า	CC
ควร	AX
จะ	AX
เลือก	VV
อะไร	PR
ใน	PS
เมื่อ	CC
ทั้ง	CC
เรื่อง	NN
เรียน	VV
และ	CC
เรื่อง	NN
งาน	NN
ใน	PS
วง	NN
การ	NN
คือ	VV
ความ	FX
ฝัน	VV
ของ	PS
หนู	PR

แต่	CC
ผู้	NN
ใหญ่	NN
ที่	CC
โคลีเซี่ยม	NN
บอก	VV
ให้	CC
เอา	VV
เรื่อง	NN
เรียน	VV
ก่อน	AV

ไม่	NG
ใช่	VV
ทุก	AJ
คน	CL
ที่	CC
จะ	AX
สามารถ	AX
สอบ	VV
เข้า	AV
ไป	AV
เรียน	VV
ที่	PS
นั่น	NN
ได้	AX

ส่วน	CC
งาน	NN
ตอน	NN
นี้	AJ
ให้	AV
เล่น	VV
เรื่อง	NN
โก๊ะซ่า	NN
ท้า	VV
มิติ	NN
เรื่อง	CL
เดียว	NU
ไป	VV
ก่อน	AV
เพราะ	CC
สามารถ	AX
จัด	VV
คิว	NN
วัน	NN
ที่	NN
ไม่	NG
มี	VV
เรียน	VV
ได้	AX

เดี๋ยว	AV
ขึ้น	VV
ปี	NN
2	NU
ได้	AX
ย้าย	VV
กลับ	VV
มา	AV
เรียน	VV
ใน	PS
กรุงเทพ	NN
ฯ	NN
คง	AX
จะ	AX
สามารถ	AX
รับ	VV
งาน	NN
ได้	AX
มาก	VV
กว่า	AV
นี้	AJ
ค่ะ	PA
"	PU
จี้	NN
กล่าว	VV
