"	PU
หม่ำ	NN
ออนสเตจ	NN
"	PU
ยัด	VV
ใส่	VV
แผ่น	NN
แล้ว	AX

หลัง	CC
จาก	CC
ประสบ	VV
ความ	FX
สำเร็จ	VV
ใน	PS
การ	FX
จัด	VV
การ	VV
แสดง	VV
ชุด	NN
หม่ำ	NN
ออนสเตจ	NN
เพ็ชรทาย	NN
ว	NN
งษ์	NN
คำ	NN
เหลาหรือ	NN
หม่ำ	NN
จ๊กมก	NN
ก็	CC
ตัดสินใจ	VV
ผลิต	VV
เป็น	VV
วีซีดี	NN
และ	CC
ดีวีดี	NN
ออก	AV
จำหน่าย	VV

"	PU
หม่ำ	NN
ออนสเตจ	VV
เป็น	VV
คอนเสิร์ต	NN
ครั้ง	CL
แรก	PR
ของ	PS
ผม	PR
เป็น	VV
การ	FX
รวม	VV
ชีวิต	NN
การ	FX
แสดง	VV
ของ	PS
ผม	PR
ไม่ว่า	CC
จะ	AX
เป็น	VV
การ	FX
แสดง	VV
ส	VV
ดทอล์	VV
ก	VV
โชว์	VV
ร้อง	VV
เพลง	NN
หนัง	NN
สั้น	VV
มา	AV
สร้าง	VV
ความ	FX
สนุกสนาน	VV
แบบ	NN
ฮาหลุด	VV
โลก	NN
บน	PS
เวที	NN
มี	VV
แขกรับเชิญ	VV
อย่าง	NN
เทพ	NN
โพธิ์งาม	NN
,	PU
สายัณห์	NN
สัญญา	NN
,	PU
สุรชัย	NN
สมบัติ	NN
เจริญ	NN
,	PU
แอ๊ด	NN
คาราบาว	NN
,	PU
วงแทตทู	NN
คัลเลอร์	NN
,	PU
โบว์	NN
เอเอฟ	NN
5	NU
,	PU
เท่ง	NN
-	PU
โหน่ง	NN
-	PU
ส้มเช้ง	NN
ฯลฯ	NN

การ	FX
แสดง	VV
5	NU
รอบ	CL
ที่	PS
เมืองทองธานี	NN
มี	VV
ผู้	FX
ที่	CC
ยัง	AX
ไม่	NG
มี	VV
โอกาส	NN
ได้	AX
ชม	VV
อีก	AV
มาก	VV
ทำให้	CC
ผม	PR
และ	CC
ทีม	NN
งาน	NN
ตัดสินใจ	VV
ทำ	VV
วีซีดี	NN
และ	CC
ดีวีดี	NN
การ	FX
แสดง	VV
เต็ม	VV
รูปแบบ	NN
พร้อม	VV
เบื้อง	NN
หลัง	NU
ด้วย	PS
ระบบ	NN
เสียง	NN
ที่	CC
เหมือน	VV
ได้	AX
นั่ง	VV
ชม	VV
การ	FX
แสดง	VV
แบบ	NN
สด	VV
ๆ	PU

ผม	PR
มอบ	VV
ลิขสิทธิ์	NN
ให้	CC
บริษัท	NN
บี	NN
เอเอ็ม	NN
เอ็นเตอร์เทนเมนท์	NN
จำกัด	VV
และ	CC
บริษัท	NN
พี	NN
รา	NN
มิด	NN
ดิจิตอล	NN
เป็น	VV
ผู้	FX
จัด	VV
จำหน่าย	VV
แต่	CC
เพียง	AJ
ผู้	FX
เดียว	NU
ด้วย	PS
ความ	FX
ยาว	VV
3	NU
ชั่วโมง	CL
เต็ม	VV
ซึ่ง	CC
วาง	VV
ขาย	VV
ใน	PS
วัน	NN
ที่	NN
1	NU
ก.ค.	NN
สอบถาม	VV
รายละเอียด	NN
ได้	AX
ที่	PS
โทร.0-2379	NU
-	NU
3081-2"หม่ำ	NU
กล่าว	VV
