"	PU
สนธิ	NN
"	PU
ปลอดภัย	VV
แล้ว	AX
แพทย์	NN
ระบุ	VV
ให้	CC
กลับ	VV
บ้าน	NN
ใน	PS
1	NU
สัปดาห์	CL

ทีม	NN
แพทย์	NN
โรง	NN
พยาบาล	NN
จุฬาลงกรณ์	NN
แถลง	VV
ความ	FX
คืบหน้า	VV
อาการ	NN
ของ	PS
นาย	NN
สนธิ	NN
ลิ้ม	NN
ทอง	NN
กุล	NN
แกนนำ	NN
พันธมิตร	NN
ประชาชน	NN
เพื่อ	PS
ประชาธิปไตย	NN
ที่	CC
ถูก	AX
ลอบ	VV
ยิง	VV
ว่า	CC
อาการ	NN
ขณะนี้	NN
อยู่	VV
ใน	PS
ขั้น	NN
ปลอดภัย	VV

สามารถ	AX
ตอบสนอง	VV
รับรู้	VV
ได้	AX
ดี	VV

มี	VV
เพียง	AV
อาการ	NN
ปวด	VV
ศีรษะ	NN
นิด	AV
หน่อย	AV
เท่านั้น	AV
คาด	VV
ว่า	CC
ภายใน	PS
1	NU
สัปดาห์	CL
สามารถ	AX
เดินทาง	VV
กลับ	VV
บ้าน	NN
ได้	AX

ส่วน	CC
อาการ	NN
ของ	PS
ผู้	FX
ติดตาม	VV
ก็	CC
ปลอดภัย	VV
เช่นกัน	AV

ขณะที่	CC
คน	NN
ขับ	VV
รถ	NN
นั้น	AJ
แพทย์	NN
ขอ	VV
เอ็กซเรย์	VV
โดย	FX
ละเอียด	VV
อีก	AJ
ครั้ง	CL

ทั้งนี้	CC
ทาง	NN
โรง	NN
พยาบาล	NN
ของด	VV
เยี่ยม	VV
