"	PU
อภิ	NN
สิทธิ์	NN
"	PU
เตรียม	VV
เปิด	VV
ประชุม	VV
อาเซี่ยน	NN
ที่	PS
ภูเก็ต	NN

นาย	NN
อภิ	NN
สิทธิ์	NN
เวชชาชีวะ	NN
นายก	NN
รัฐ	NN
มน	NN
ตรี	NN
จะ	AX
เดินทาง	VV
มา	AV
ถึง	VV
จังหวัด	NN
ภูเก็ต	NN
เพื่อ	CC
เปิด	VV
การ	FX
ประชุม	VV
รัฐ	NN
มน	NN
ตรี	NN
ต่างประเทศ	NN
อาเซียน	NN
ครั้ง	CL
ที่	PS
42	NU
อย่าง	FX
เป็น	VV
ทางการ	NN

ซึ่ง	CC
การ	FX
ประชุม	VV
ใน	PS
วัน	NN
นี้	AJ
จะ	AX
เป็น	VV
การ	FX
ประชุม	VV
เต็ม	AJ
คณะ	NN
ของ	PS
คณะ	NN
รัฐ	NN
มน	NN
ตรี	NN
ต่างประเทศ	NN
อาเซียน	NN
ซึ่ง	CC
ทั้ง	AJ
10	NU
ประเทศ	CL
ใน	PS
ภูมิภาค	NN
เอเชีย	NN
ตะวัน	NN
ออก	NN
เฉียงใต้	VV
ได้	AX
เดินทาง	VV
มา	AV
ถึง	VV
พร้อม	VV
ทุก	AJ
ประเทศ	CL
ตั้งแต่	PS
เมื่อ	PS
วาน	NN
นี้	AJ
แล้ว	AX
โดย	CC
จะ	AX
เปิด	VV
โอกาส	NN
ให้	CC
รัฐ	NN
มน	NN
ตรี	NN
ต่างประเทศ	NN
อาเซียน	NN
เยี่ยม	VV
คาราวะ	NN
ด้วย	AV

ขณะที่	CC
การ	FX
รักษา	VV
ความ	FX
ปลอดภัย	VV
บริเวณ	NN
โรงแรม	NN
เชอราตัน	NN
แกรนด์	NN
ลากูนา	NN
ภูเก็ต	NN
ซึ่ง	CC
เป็น	VV
สถานที่	NN
เปิด	VV
การ	FX
ประชุม	VV
มีการ	FX
เพิ่ม	VV
ความ	FX
เข้มงวด	VV
ใน	PS
การ	FX
ตรวจค้น	VV
มาก	AV
ขึ้น	AV

ทั้ง	CC
การ	FX
ตรวจ	VV
วัตถุ	NN
ต้องสงสัย	VV
ทุก	AJ
คน	CL
ที่	CC
ผ่าน	VV
เข้าออก	AV
การ	FX
ตรวจ	VV
รถ	NN
ยนต์	NN
ทุก	AJ
คัน	CL
อย่าง	FX
ละเอียด	VV
