"	PU
กษิต	NN
"	PU
เคลียร์	VV
นายกฯ	NN
ไม่	NG
มี	VV
เจตนา	NN
พาดพิง	VV
กองทัพ	NN

นาย	NN
กษิต	NN
ภิรมย์	NN
รัฐ	NN
มน	NN
ตรี	NN
ว่าการ	VV
กระทรวง	NN
การ	FX
ต่างประเทศ	NN
เปิดเผย	VV
ว่า	CC
ซาบซึ้งใจ	VV
ที่	CC
นายก	NN
รัฐ	NN
มน	NN
ตรี	NN
มั่นใจ	VV
การ	FX
ทำ	VV
หน้าที่	NN
ของ	PS
ตน	PR
ที่	CC
ผ่าน	VV
มา	AV
โดย	CC
ไม่	NG
หวั่น	VV
ไป	AV
ตาม	PS
กระแส	NN
ที่	CC
กดดัน	VV
ให้	CC
ลาออก	VV
จาก	PS
ตำแหน่ง	NN
และการ	CC
ไป	AV
รายงาน	VV
ตัวต่อ	NN
เจ้าหน้าที่	NN
ตำรวจ	NN
ตาม	PS
หมาย	NN
เรียก	VV
ถือ	VV
เป็น	VV
ไป	AV
ตาม	PS
จริยธรรม	NN
ของ	PS
นักการเมือง	NN
โดย	CC
ปฏิเสธ	VV
ข้อ	NN
กล่าวหา	VV

ส่วน	CC
กรณี	NN
ให้	VV
สัมภาษณ์	NN
พาดพิง	VV
ไป	AV
ถึง	PS
บุคคล	NN
ใน	PS
กองทัพ	NN
และ	CC
นาย	NN
สุเทพ	NN
เทือก	NN
สุบรรณ	NN
ยืนยัน	VV
ไม่	NG
ได้	AX
มี	VV
เจตนา	NN
ดัง	AJ
กล่าว	AJ
แต่	CC
เป็น	VV
การ	FX
ตอบ	VV
กลับ	VV
สื่อ	NN
ซึ่ง	CC
คง	AX
จะ	AX
มีการ	FX
พูดคุย	VV
และ	CC
เจอ	VV
กัน	AV
ใน	PS
ช่วง	NN
การ	FX
ประชุม	VV
รัฐ	NN
มน	NN
ตรี	NN
ต่างประเทศ	NN
อาเซียนที่	NN
จ.	NN
ภูเก็ต	NN
